True_Status,Risk_Score,Risk_Level
Dropout,0.5596979158789507,Medium Risk
Graduate,0.40081461977794525,Medium Risk
Dropout,0.9840308139716015,High Risk
Graduate,0.13522572336408556,Low Risk
Graduate,0.034927453627930954,Low Risk
Graduate,0.30727964545966335,Medium Risk
Graduate,0.031509190485552174,Low Risk
Dropout,0.98405361390513,High Risk
Graduate,0.02572001683479134,Low Risk
Dropout,0.7375441350740224,High Risk
Graduate,0.0892310172416979,Low Risk
Graduate,0.02729007993543606,Low Risk
Dropout,0.9734063216801245,High Risk
Graduate,0.055214937805856866,Low Risk
Graduate,0.029920581763185697,Low Risk
Dropout,0.7950547844669881,High Risk
Enrolled,0.5324040477021718,Medium Risk
Graduate,0.05466696205077525,Low Risk
Graduate,0.08700130751370831,Low Risk
Enrolled,0.06554561399639448,Low Risk
Graduate,0.2754383700191569,Low Risk
Enrolled,0.06824775583394202,Low Risk
Graduate,0.06087330205230117,Low Risk
Graduate,0.036796095966246466,Low Risk
Graduate,0.040280544506139215,Low Risk
Enrolled,0.2189344695406343,Low Risk
Graduate,0.04242533143301085,Low Risk
Enrolled,0.054175373822583306,Low Risk
Graduate,0.041540166085596686,Low Risk
Enrolled,0.06615251959613137,Low Risk
Enrolled,0.07990795515246782,Low Risk
Graduate,0.019470152000581737,Low Risk
Enrolled,0.47449479009746887,Medium Risk
Graduate,0.02929043503160121,Low Risk
Graduate,0.12182651519018532,Low Risk
Dropout,0.9588377129088425,High Risk
Dropout,0.9838576098911508,High Risk
Dropout,0.7723781507144024,High Risk
Graduate,0.059576103680492924,Low Risk
Dropout,0.9179348365501472,High Risk
Dropout,0.9325483419787954,High Risk
Graduate,0.041779011351302325,Low Risk
Graduate,0.020555608065449458,Low Risk
Dropout,0.6132650832013294,High Risk
Dropout,0.9843495487007342,High Risk
Enrolled,0.21538434706555096,Low Risk
Graduate,0.10101212945733827,Low Risk
Graduate,0.07727490980143699,Low Risk
Graduate,0.03934181396941951,Low Risk
Graduate,0.0212339817256366,Low Risk
Graduate,0.031651767063895976,Low Risk
Enrolled,0.013560604672139225,Low Risk
Enrolled,0.25710819728153417,Low Risk
Graduate,0.09175799159836469,Low Risk
Dropout,0.21409078922995417,Low Risk
Graduate,0.03608611002216297,Low Risk
Dropout,0.9647874875948599,High Risk
Dropout,0.612929337169052,High Risk
Graduate,0.024914931750289925,Low Risk
Enrolled,0.3936973370531128,Medium Risk
Graduate,0.029586371171718456,Low Risk
Graduate,0.040978733711474376,Low Risk
Enrolled,0.4266395911096516,Medium Risk
Enrolled,0.6080021946126318,High Risk
Enrolled,0.8691186521836126,High Risk
Dropout,0.6023433606156593,High Risk
Graduate,0.33552578601546357,Medium Risk
Graduate,0.05816747956106502,Low Risk
Dropout,0.4559761537803746,Medium Risk
Enrolled,0.2250048550497678,Low Risk
Enrolled,0.7659414018615355,High Risk
Graduate,0.17126436801398023,Low Risk
Dropout,0.3971535491380868,Medium Risk
Dropout,0.9026664797699231,High Risk
Graduate,0.3952611384652667,Medium Risk
Dropout,0.4417592967974566,Medium Risk
Dropout,0.7645078480590028,High Risk
Graduate,0.08830620487187635,Low Risk
Graduate,0.0470161990349506,Low Risk
Graduate,0.05438047967876241,Low Risk
Dropout,0.13891776363201208,Low Risk
Dropout,0.938433841827953,High Risk
Dropout,0.6786520708360178,High Risk
Enrolled,0.2582959345118701,Low Risk
Graduate,0.10625325629399444,Low Risk
Graduate,0.031079287054078402,Low Risk
Graduate,0.062040463204496056,Low Risk
Graduate,0.06920835363630243,Low Risk
Enrolled,0.16344213401377075,Low Risk
Enrolled,0.9080806130406289,High Risk
Dropout,0.9466417638961826,High Risk
Graduate,0.11761380143066211,Low Risk
Dropout,0.9578766852938554,High Risk
Dropout,0.9852995737891466,High Risk
Graduate,0.059343636365482004,Low Risk
Enrolled,0.08121706466104651,Low Risk
Graduate,0.043783276486753,Low Risk
Graduate,0.036353796988728364,Low Risk
Enrolled,0.0402002386007385,Low Risk
Dropout,0.9874104860323993,High Risk
Dropout,0.28154453036182414,Low Risk
Graduate,0.4549128232598375,Medium Risk
Dropout,0.9460386629254501,High Risk
Graduate,0.03912429086968477,Low Risk
Dropout,0.9849541940591944,High Risk
Graduate,0.04337797408674637,Low Risk
Dropout,0.9673062362107044,High Risk
Dropout,0.2768422019596801,Low Risk
Dropout,0.1852188167590161,Low Risk
Enrolled,0.36088854854696756,Medium Risk
Graduate,0.029647037383190706,Low Risk
Enrolled,0.13569539325267532,Low Risk
Graduate,0.028528801140518808,Low Risk
Graduate,0.07824663801393755,Low Risk
Dropout,0.08527882744453619,Low Risk
Enrolled,0.022954695960942937,Low Risk
Enrolled,0.15293955292475317,Low Risk
Enrolled,0.2532450126177313,Low Risk
Graduate,0.02871579336305161,Low Risk
Graduate,0.037370986323043774,Low Risk
Dropout,0.7322436458092205,High Risk
Graduate,0.07676781589039468,Low Risk
Dropout,0.3294267337134878,Medium Risk
Graduate,0.026747250752213514,Low Risk
Graduate,0.02337758927777867,Low Risk
Dropout,0.9653148155216585,High Risk
Graduate,0.059507539555982016,Low Risk
Enrolled,0.056966549943813255,Low Risk
Graduate,0.05131866587425656,Low Risk
Graduate,0.05898617169277467,Low Risk
Dropout,0.06770758411564176,Low Risk
Graduate,0.018350725112069477,Low Risk
Graduate,0.046182443970492607,Low Risk
Dropout,0.952468849550128,High Risk
Graduate,0.02327057817463394,Low Risk
Dropout,0.9038692520842665,High Risk
Graduate,0.11712439810799193,Low Risk
Graduate,0.005584795262537868,Low Risk
Enrolled,0.05026083107790528,Low Risk
Graduate,0.041032805951146854,Low Risk
Graduate,0.038996181313188535,Low Risk
Graduate,0.1274448378040584,Low Risk
Enrolled,0.33539446938265577,Medium Risk
Graduate,0.03935614205672336,Low Risk
Graduate,0.05906358411131142,Low Risk
Graduate,0.24737345001786162,Low Risk
Dropout,0.851619252290653,High Risk
Dropout,0.3841520226811433,Medium Risk
Graduate,0.03448798858670867,Low Risk
Graduate,0.03748799075544812,Low Risk
Enrolled,0.24072305729873372,Low Risk
Graduate,0.012474589590478155,Low Risk
Enrolled,0.2134445504029188,Low Risk
Graduate,0.10821516291414,Low Risk
Dropout,0.637852850531461,High Risk
Dropout,0.24200402588925185,Low Risk
Graduate,0.025631016003654025,Low Risk
Graduate,0.03202449053027587,Low Risk
Graduate,0.06061858906525383,Low Risk
Graduate,0.05108279652673856,Low Risk
Dropout,0.04026357206615739,Low Risk
Graduate,0.028608637184262327,Low Risk
Graduate,0.030859344026256813,Low Risk
Dropout,0.6639761347365776,High Risk
Graduate,0.03117626218318267,Low Risk
Graduate,0.04116091980163066,Low Risk
Enrolled,0.45965104289009984,Medium Risk
Graduate,0.14413169304987603,Low Risk
Graduate,0.0786392500066242,Low Risk
Dropout,0.5600085186592763,Medium Risk
Enrolled,0.2330642471531989,Low Risk
Graduate,0.03659123994848835,Low Risk
Graduate,0.027611427473542192,Low Risk
Graduate,0.08804071594284964,Low Risk
Dropout,0.6563245540565045,High Risk
Enrolled,0.07774008871715544,Low Risk
Graduate,0.21455450228579323,Low Risk
Dropout,0.4348141701118045,Medium Risk
Dropout,0.36286445855561106,Medium Risk
Dropout,0.12873636956199022,Low Risk
Graduate,0.0744562454793312,Low Risk
Enrolled,0.03085414928222866,Low Risk
Dropout,0.9707888062118478,High Risk
Dropout,0.8896559967778903,High Risk
Dropout,0.9791136920158974,High Risk
Dropout,0.8655630552951381,High Risk
Enrolled,0.4641825296753638,Medium Risk
Graduate,0.029175881804857865,Low Risk
Dropout,0.8547761774293392,High Risk
Graduate,0.05175964899920459,Low Risk
Graduate,0.028115370462229002,Low Risk
Enrolled,0.4797754974181603,Medium Risk
Dropout,0.8532125608718762,High Risk
Dropout,0.9771797034889579,High Risk
Graduate,0.053190635094999404,Low Risk
Dropout,0.9709864547941394,High Risk
Graduate,0.02974378811143148,Low Risk
Dropout,0.9511710713618602,High Risk
Graduate,0.06267811276415611,Low Risk
Enrolled,0.10107724835525703,Low Risk
Graduate,0.05901271883263758,Low Risk
Graduate,0.0382851047855524,Low Risk
Graduate,0.0502139280590356,Low Risk
Graduate,0.05704080168993459,Low Risk
Graduate,0.0675058464154356,Low Risk
Graduate,0.3844480895917192,Medium Risk
Graduate,0.03414664620305165,Low Risk
Graduate,0.053091231303068344,Low Risk
Graduate,0.044863636372153085,Low Risk
Dropout,0.0896861761443767,Low Risk
Graduate,0.037990802422167555,Low Risk
Graduate,0.018653678033684794,Low Risk
Graduate,0.05442241848277538,Low Risk
Dropout,0.9122680479019085,High Risk
Graduate,0.057140180775271235,Low Risk
Enrolled,0.0759996256188662,Low Risk
Graduate,0.04355960269039519,Low Risk
Dropout,0.8675149967173055,High Risk
Dropout,0.817417635979175,High Risk
Dropout,0.4802498063589159,Medium Risk
Graduate,0.05416336417673009,Low Risk
Graduate,0.04753917684680653,Low Risk
Dropout,0.6344005108490807,High Risk
Graduate,0.07107130508298033,Low Risk
Graduate,0.030756356022815252,Low Risk
Graduate,0.1437889028425457,Low Risk
Graduate,0.12400186540432895,Low Risk
Graduate,0.036202679631057916,Low Risk
Dropout,0.9763067051537511,High Risk
Graduate,0.055680345181174186,Low Risk
Graduate,0.15511644514916179,Low Risk
Dropout,0.9864658025032813,High Risk
Graduate,0.037609033798829516,Low Risk
Graduate,0.06608488452674388,Low Risk
Dropout,0.6564747233104756,High Risk
Graduate,0.024623744056186617,Low Risk
Graduate,0.047799861100414676,Low Risk
Graduate,0.030002117894268734,Low Risk
Dropout,0.8684871425877638,High Risk
Dropout,0.8946288033625427,High Risk
Enrolled,0.05128424082256115,Low Risk
Enrolled,0.1455332703302056,Low Risk
Graduate,0.034301885820806,Low Risk
Dropout,0.9642728634505274,High Risk
Graduate,0.013798138229325962,Low Risk
Graduate,0.0431134226264474,Low Risk
Graduate,0.03658108978235491,Low Risk
Dropout,0.9535168006281047,High Risk
Graduate,0.11004792153421326,Low Risk
Graduate,0.07546071224144227,Low Risk
Enrolled,0.03414905747538856,Low Risk
Dropout,0.039613830883681936,Low Risk
Graduate,0.03337575591420404,Low Risk
Enrolled,0.8567559229457664,High Risk
Graduate,0.04926786853731859,Low Risk
Dropout,0.941339441698362,High Risk
Graduate,0.1086534916172533,Low Risk
Enrolled,0.01888624642817451,Low Risk
Graduate,0.04777621135285316,Low Risk
Dropout,0.9503261449904645,High Risk
Graduate,0.10420689397931607,Low Risk
Dropout,0.9923587250485476,High Risk
Dropout,0.8757115060413003,High Risk
Graduate,0.021950779091756495,Low Risk
Graduate,0.022097885667603907,Low Risk
Graduate,0.3117898341181671,Medium Risk
Graduate,0.06334046345472576,Low Risk
Graduate,0.12673421303560425,Low Risk
Graduate,0.018179388550351123,Low Risk
Graduate,0.043665190968546645,Low Risk
Graduate,0.03525110337092658,Low Risk
Dropout,0.8644590533157924,High Risk
Graduate,0.058914058123470746,Low Risk
Graduate,0.045054539248736765,Low Risk
Graduate,0.009957942668888418,Low Risk
Graduate,0.0888857984695135,Low Risk
Dropout,0.596108356621201,Medium Risk
Dropout,0.9907240645827615,High Risk
Enrolled,0.036148236171264586,Low Risk
Graduate,0.02221086306828344,Low Risk
Graduate,0.09380047333426225,Low Risk
Graduate,0.03357006286375587,Low Risk
Graduate,0.047662146732440236,Low Risk
Graduate,0.014828568090283357,Low Risk
Graduate,0.09714448004798873,Low Risk
Graduate,0.03494902865249164,Low Risk
Enrolled,0.026324568015775866,Low Risk
Graduate,0.1409089183375286,Low Risk
Graduate,0.026371539285328788,Low Risk
Graduate,0.05852385874744218,Low Risk
Graduate,0.04778106574377207,Low Risk
Graduate,0.02199954602758836,Low Risk
Enrolled,0.14487182980070615,Low Risk
Graduate,0.003546180083579234,Low Risk
Dropout,0.27025654148669387,Low Risk
Graduate,0.018530395798699768,Low Risk
Graduate,0.04085629723815326,Low Risk
Graduate,0.04286362529029203,Low Risk
Graduate,0.03464932625549357,Low Risk
Graduate,0.029797701362069193,Low Risk
Graduate,0.07309268980954327,Low Risk
Graduate,0.03899683843744112,Low Risk
Graduate,0.013438268975767206,Low Risk
Dropout,0.8538782282110675,High Risk
Dropout,0.9066036764398111,High Risk
Enrolled,0.28422794901384474,Low Risk
Graduate,0.17358048993302852,Low Risk
Dropout,0.9590722695589075,High Risk
Graduate,0.05797087713414994,Low Risk
Dropout,0.937371659899565,High Risk
Graduate,0.14554961186221235,Low Risk
Dropout,0.8038352157921086,High Risk
Graduate,0.05055417626245542,Low Risk
Graduate,0.15149918492771525,Low Risk
Dropout,0.9077311284055709,High Risk
Graduate,0.024606796275078772,Low Risk
Graduate,0.02981222089397267,Low Risk
Graduate,0.056871278850839736,Low Risk
Graduate,0.03738237511429841,Low Risk
Enrolled,0.035307460692246974,Low Risk
Dropout,0.9509840710264067,High Risk
Graduate,0.010253620862072762,Low Risk
Graduate,0.033000774390012165,Low Risk
Graduate,0.054153529265520015,Low Risk
Enrolled,0.14676951904996272,Low Risk
Graduate,0.220691903654226,Low Risk
Graduate,0.03173556509145425,Low Risk
Graduate,0.1600029110783796,Low Risk
Enrolled,0.09684154800493561,Low Risk
Enrolled,0.017498715760454028,Low Risk
Enrolled,0.07277203599799918,Low Risk
Dropout,0.8570814765659456,High Risk
Graduate,0.018008589495367947,Low Risk
Graduate,0.019676520343306986,Low Risk
Graduate,0.02157161577523987,Low Risk
Graduate,0.028633223478608447,Low Risk
Graduate,0.08683342302843297,Low Risk
Graduate,0.02685334441024486,Low Risk
Graduate,0.08337552500419167,Low Risk
Graduate,0.0501897708776262,Low Risk
Enrolled,0.09848956224559932,Low Risk
Dropout,0.4671436531874684,Medium Risk
Graduate,0.05066089461341053,Low Risk
Graduate,0.06721140470148163,Low Risk
Enrolled,0.4727744822010731,Medium Risk
Graduate,0.027465452921327873,Low Risk
Enrolled,0.5046138172971715,Medium Risk
Graduate,0.10041690339716959,Low Risk
Graduate,0.06415966409707327,Low Risk
Enrolled,0.023291744936823323,Low Risk
Dropout,0.36935345308672274,Medium Risk
Graduate,0.03795385213433112,Low Risk
Dropout,0.848936965147843,High Risk
Graduate,0.03372497163321275,Low Risk
Dropout,0.9527815806368181,High Risk
Graduate,0.029007077885483835,Low Risk
Graduate,0.0751175030569555,Low Risk
Dropout,0.9902912321967993,High Risk
Enrolled,0.8821775624783365,High Risk
Dropout,0.9802688627575753,High Risk
Graduate,0.18995986643192347,Low Risk
Dropout,0.7674912167190165,High Risk
Enrolled,0.19010637348982912,Low Risk
Graduate,0.02940973181606655,Low Risk
Enrolled,0.05139271491076378,Low Risk
